team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,draw_rate,loss_rate,unbeaten_rate,goals_per_match,goals_against_per_match,goal_difference_per_match,points_per_match,form5,form10,form20,weighted_form,weighted_recent_points,attack_5,defense_5,attack_10,defense_10,attack_20,defense_20,goal_diff_10,goal_diff_20,recent_goal_trend,avg_goal_margin,clean_sheet_pct,failed_to_score_pct,neutral_matches,neutral_points_per_match,neutral_win_rate,group,fifa_sum_rating,elo_rating,team_encoded,group_encoded,elo_rank,fifa_sum_rank,attack_defense_balance,elo_adjusted_form,fifa_adjusted_form,team_strength_score
Croatia,49,26,14,9,90.0,49.0,41.0,0.5306122448979592,0.2857142857142857,0.1836734693877551,0.8163265306122449,1.836734693877551,1.0,0.8367346938775511,1.8775510204081634,12,25,38,19.989473684210527,1.9989473684210526,2.4,1.4,2.9,0.8,2.1,1.05,2.1,1.05,0.2999999999999998,0.8367346938775511,0.3877551020408163,0.20408163265306123,21,1.5714285714285714,0.38095238095238093,L,1394.4802330341,1933.0,10,11,9.0,16.0,2.0999999999999996,17.7980896506582,17.296612352403194,0.6295174128447968
Curaçao,33,12,10,11,56.0,43.0,13.0,0.36363636363636365,0.30303030303030304,0.3333333333333333,0.6666666666666666,1.696969696969697,1.303030303030303,0.3939393939393939,1.393939393939394,4,12,33,15.057894736842105,1.5057894736842106,1.8,2.2,1.6,1.6,2.0,1.05,0.0,0.95,-0.19999999999999996,0.3939393939393939,0.36363636363636365,0.3333333333333333,12,1.1666666666666667,0.25,E,1008.5148626910852,1467.0,11,4,47.0,48.0,0.0,10.175003030376494,9.423101954511772,0.21277606403200952
Czech Republic,36,19,11,6,68.0,39.0,29.0,0.5277777777777778,0.3055555555555556,0.16666666666666666,0.8333333333333334,1.8888888888888888,1.0833333333333333,0.8055555555555556,1.8888888888888888,11,16,36,18.315789473684212,1.8315789473684212,2.6,1.0,1.8,1.3,1.8,1.2,0.5,0.6,0.8,0.8055555555555556,0.3333333333333333,0.1111111111111111,6,1.3333333333333333,0.3333333333333333,A,1191.8730596065122,1500.0,12,0,37.0,40.0,0.5,12.654852238842155,13.545747524821042,0.4584908348954477
DR Congo,43,23,12,8,53.0,24.0,29.0,0.5348837209302325,0.27906976744186046,0.18604651162790697,0.813953488372093,1.2325581395348837,0.5581395348837209,0.6744186046511628,1.8837209302325582,10,23,44,22.06315789473684,2.206315789473684,1.4,0.4,1.2,0.3,1.45,0.55,0.9,0.9,-0.050000000000000044,0.6744186046511628,0.5348837209302325,0.20930232558139536,25,1.72,0.44,K,1184.1056153591444,1500.0,13,10,37.0,42.0,0.8999999999999999,15.244005915294915,16.21083718769252,0.4856251934471838
Ecuador,41,18,16,7,45.0,27.0,18.0,0.43902439024390244,0.3902439024390244,0.17073170731707318,0.8292682926829268,1.0975609756097562,0.6585365853658537,0.43902439024390244,1.7073170731707317,9,16,33,16.699999999999996,1.6699999999999995,1.2,0.6,0.9,0.5,0.9,0.4,0.4,0.5,0.29999999999999993,0.43902439024390244,0.4634146341463415,0.34146341463414637,16,1.75,0.5,E,1336.006932222297,1933.0,14,4,9.0,22.0,0.4,14.869230769230766,13.844348178769962,0.4966674425262318
Egypt,49,26,15,8,78.0,39.0,39.0,0.5306122448979592,0.30612244897959184,0.16326530612244897,0.8367346938775511,1.5918367346938775,0.7959183673469388,0.7959183673469388,1.8979591836734695,8,21,37,18.363157894736844,1.8363157894736843,1.0,0.2,1.4,0.5,1.2,0.65,0.9,0.55,-0.19999999999999996,0.7959183673469388,0.5102040816326531,0.16326530612244897,24,1.5416666666666667,0.375,G,1317.120587251256,1591.0,15,6,33.0,24.0,0.8999999999999999,13.457293510145702,15.00791069826226,0.5155405817207458
England,51,32,9,10,107.0,35.0,72.0,0.6274509803921569,0.17647058823529413,0.19607843137254902,0.803921568627451,2.0980392156862746,0.6862745098039216,1.411764705882353,2.0588235294117645,10,22,46,22.831578947368424,2.2831578947368425,2.0,0.4,2.2,0.5,2.3,0.55,1.7,1.75,-0.2999999999999998,1.411764705882353,0.49019607843137253,0.13725490196078433,21,1.7142857142857142,0.47619047619047616,L,1508.1000795523255,2042.0,16,11,4.0,4.0,1.7000000000000002,21.474935149943033,21.365518653754656,0.8135143168320829
France,52,36,9,7,115.0,46.0,69.0,0.6923076923076923,0.17307692307692307,0.1346153846153846,0.8653846153846154,2.2115384615384617,0.8846153846153846,1.3269230769230769,2.25,13,25,42,22.38947368421052,2.2389473684210524,2.8,1.0,2.7,1.1,2.1,1.05,1.6,1.05,0.6999999999999997,1.3269230769230769,0.46153846153846156,0.15384615384615385,26,2.269230769230769,0.6923076923076923,I,1583.8154654672553,2062.0,17,8,3.0,3.0,1.6,21.26535916022206,22.003704013406995,0.8782912906235095
Germany,45,24,8,13,92.0,56.0,36.0,0.5333333333333333,0.17777777777777778,0.28888888888888886,0.7111111111111111,2.0444444444444443,1.2444444444444445,0.8,1.7777777777777777,15,24,42,22.031578947368416,2.2031578947368415,3.6,0.8,2.6,0.9,2.55,1.05,1.7,1.5,1.0500000000000003,0.8,0.28888888888888886,0.17777777777777778,7,1.1428571428571428,0.2857142857142857,E,1478.3281811452373,1910.0,18,4,12.0,6.0,1.7000000000000002,19.382918373778754,20.20988346311293,0.6525710647047879
Ghana,38,13,9,16,51.0,51.0,0.0,0.34210526315789475,0.23684210526315788,0.42105263157894735,0.5789473684210527,1.3421052631578947,1.3421052631578947,0.0,1.263157894736842,0,13,25,11.98421052631579,1.198421052631579,0.4,2.4,1.4,1.3,1.5,1.25,0.1,0.25,-1.1,0.0,0.2894736842105263,0.3157894736842105,14,1.0714285714285714,0.2857142857142857,L,1122.0971709101905,1509.0,19,11,36.0,44.0,0.09999999999999987,8.329881936531795,8.344248462530913,0.17057946445213354
Haiti,32,16,8,8,71.0,37.0,34.0,0.5,0.25,0.25,0.75,2.21875,1.15625,1.0625,1.75,7,13,37,16.973684210526315,1.6973684210526314,0.8,1.0,1.2,1.1,2.5,1.1,0.1,1.4,-1.7,1.0625,0.375,0.1875,18,1.4444444444444444,0.3888888888888889,C,1099.4531592641597,1542.0,20,2,35.0,46.0,0.09999999999999987,12.055928628572813,11.5797765716007,0.4184267869814313
Iran,44,28,9,7,92.0,38.0,54.0,0.6363636363636364,0.20454545454545456,0.1590909090909091,0.8409090909090909,2.090909090909091,0.8636363636363636,1.2272727272727273,2.1136363636363638,8,15,41,19.689473684210526,1.9689473684210526,1.8,0.6,1.7,0.8,1.8,0.75,0.9,1.05,0.0,1.2272727272727273,0.45454545454545453,0.1590909090909091,21,2.0476190476190474,0.6190476190476191,G,1410.0282890142366,1754.0,21,6,26.0,14.0,0.8999999999999999,15.907571092632548,17.226984518853893,0.688979324954072
Iraq,46,26,9,11,68.0,42.0,26.0,0.5652173913043478,0.1956521739130435,0.2391304347826087,0.7608695652173914,1.4782608695652173,0.9130434782608695,0.5652173913043478,1.891304347826087,9,20,36,18.568421052631578,1.8568421052631578,1.0,0.8,1.1,0.7,1.05,0.95,0.4,0.1,-0.050000000000000044,0.5652173913043478,0.43478260869565216,0.2608695652173913,20,1.6,0.5,I,1254.5587685861103,1582.0,22,8,34.0,30.0,0.40000000000000013,13.530742563456084,14.45484090550574,0.4940617992903096
Ivory Coast,43,27,8,8,79.0,29.0,50.0,0.627906976744186,0.18604651162790697,0.18604651162790697,0.813953488372093,1.8372093023255813,0.6744186046511628,1.1627906976744187,2.0697674418604652,12,22,39,20.373684210526314,2.0373684210526313,2.6,1.0,2.0,0.7,1.7,0.5,1.3,1.2,0.9000000000000001,1.1627906976744187,0.5348837209302325,0.23255813953488372,16,2.0625,0.625,E,1298.0015911071555,1500.0,23,4,37.0,27.0,1.3,14.07670488981551,16.409378232145183,0.5942729827967661
Japan,46,31,7,8,122.0,37.0,85.0,0.6739130434782609,0.15217391304347827,0.17391304347826086,0.8260869565217391,2.652173913043478,0.8043478260869565,1.8478260869565217,2.1739130434782608,15,23,46,22.9578947368421,2.29578947368421,1.6,0.0,1.9,0.6,2.4,0.45,1.3,1.95,-0.7999999999999998,1.8478260869565217,0.43478260869565216,0.13043478260869565,17,1.7647058823529411,0.5294117647058824,F,1449.79163743567,1878.0,24,5,16.0,9.0,1.2999999999999998,19.859477805522555,20.653087308325095,0.825074194658365
Jordan,50,22,12,16,86.0,67.0,19.0,0.44,0.24,0.32,0.68,1.72,1.34,0.38,1.56,5,17,28,13.936842105263157,1.3936842105263156,1.6,2.2,1.9,1.6,1.65,1.45,0.3,0.2,-0.04999999999999982,0.38,0.34,0.22,22,1.8181818181818181,0.5454545454545454,J,1214.6380650908918,1687.0,25,9,30.0,36.0,0.2999999999999998,10.829780115881595,10.504093946067988,0.35768055759371276
Mexico,63,32,16,15,88.0,61.0,27.0,0.5079365079365079,0.25396825396825395,0.23809523809523808,0.7619047619047619,1.3968253968253967,0.9682539682539683,0.42857142857142855,1.7777777777777777,11,19,40,19.642105263157895,1.9642105263157894,1.6,0.2,1.2,0.4,1.25,0.65,0.8,0.6,0.3500000000000001,0.42857142857142855,0.5238095238095238,0.2857142857142857,44,1.75,0.5,A,1422.0274830600924,1835.0,26,0,18.0,11.0,0.7999999999999999,16.60214793085893,17.33178744981147,0.5614579323332082
Morocco,59,41,12,6,113.0,27.0,86.0,0.6949152542372882,0.2033898305084746,0.1016949152542373,0.8983050847457628,1.9152542372881356,0.4576271186440678,1.4576271186440677,2.288135593220339,11,24,52,25.578947368421055,2.5578947368421057,2.2,0.4,2.0,0.3,1.9,0.3,1.7,1.6,0.30000000000000027,1.4576271186440677,0.6440677966101694,0.1864406779661017,25,1.84,0.52,C,1447.608465271882,1830.0,27,2,20.0,10.0,1.7,21.561249969696238,22.976353940124934,0.8349655966337283
Netherlands,43,24,11,8,102.0,45.0,57.0,0.5581395348837209,0.2558139534883721,0.18604651162790697,0.813953488372093,2.372093023255814,1.0465116279069768,1.3255813953488371,1.930232558139535,11,24,38,19.736842105263158,1.9736842105263157,2.4,0.6,3.0,0.6,2.55,1.05,2.4,1.5,-0.1499999999999999,1.3255813953488371,0.4186046511627907,0.06976744186046512,11,1.9090909090909092,0.5454545454545454,F,1475.2851234435775,1959.0,28,5,8.0,7.0,2.4,17.809522655094668,18.06762051189557,0.7067250312677814
New Zealand,31,13,6,12,63.0,32.0,31.0,0.41935483870967744,0.1935483870967742,0.3870967741935484,0.6129032258064516,2.032258064516129,1.032258064516129,1.0,1.4516129032258065,4,7,32,14.336842105263157,1.4336842105263157,1.2,1.6,0.9,1.5,2.55,1.0,-0.6,1.55,-1.3499999999999999,1.0,0.3870967741935484,0.3225806451612903,11,1.2727272727272727,0.36363636363636365,G,1200.2856414090534,1500.0,29,6,37.0,39.0,-0.6,9.905694683507479,10.67789002044921,0.33702150556848504
Norway,32,19,6,7,83.0,33.0,50.0,0.59375,0.1875,0.21875,0.78125,2.59375,1.03125,1.5625,1.96875,8,23,45,22.468421052631584,2.246842105263158,2.0,1.0,3.1,0.6,2.95,0.9,2.5,2.05,-0.9500000000000002,1.5625,0.40625,0.125,1,3.0,1.0,I,1238.6279745777838,1922.0,30,8,11.0,32.0,2.5,19.89143494387743,17.26874468327541,0.6946316773151914
Panama,56,27,11,18,86.0,77.0,9.0,0.48214285714285715,0.19642857142857142,0.32142857142857145,0.6785714285714286,1.5357142857142858,1.375,0.16071428571428573,1.6428571428571428,5,16,36,17.473684210526315,1.7473684210526315,1.2,2.0,1.5,1.4,1.7,1.3,0.1,0.4,-0.5,0.16071428571428573,0.26785714285714285,0.21428571428571427,22,1.2272727272727273,0.36363636363636365,L,1270.53078710894,1742.0,31,11,27.0,28.0,0.10000000000000009,14.020800504254648,13.775805623770372,0.43127622960107836
Paraguay,32,11,9,12,29.0,33.0,-4.0,0.34375,0.28125,0.375,0.625,0.90625,1.03125,-0.125,1.3125,6,14,30,15.063157894736843,1.5063157894736843,1.0,1.4,1.0,1.0,1.1,1.1,0.0,0.0,-0.10000000000000009,-0.125,0.4375,0.375,5,0.6,0.2,D,1215.3614431965646,1833.0,32,3,19.0,35.0,0.0,12.717995587771826,11.359751032752841,0.29736909305163167
Portugal,47,30,9,8,116.0,43.0,73.0,0.6382978723404256,0.19148936170212766,0.1702127659574468,0.8297872340425532,2.4680851063829787,0.9148936170212766,1.553191489361702,2.106382978723404,8,21,40,20.084210526315786,2.0084210526315784,2.6,1.0,2.6,1.0,2.2,0.9,1.6,1.3,0.3999999999999999,1.553191489361702,0.425531914893617,0.19148936170212766,15,1.5333333333333334,0.4,K,1460.6863648516642,1976.0,33,10,7.0,8.0,1.6,18.28023952095808,18.203674892532124,0.7791416635557997
Qatar,52,19,13,20,75.0,78.0,-3.0,0.36538461538461536,0.25,0.38461538461538464,0.6153846153846154,1.4423076923076923,1.5,-0.057692307692307696,1.3461538461538463,1,7,18,8.473684210526315,0.8473684210526315,0.4,1.6,0.9,1.7,1.15,1.95,-0.8,-0.8,-0.7499999999999999,-0.057692307692307696,0.21153846153846154,0.21153846153846154,14,1.0714285714285714,0.21428571428571427,B,1208.1337814122764,1427.0,34,1,48.0,38.0,-0.7999999999999999,5.569759266891318,6.352353141359676,0.15746919753739322
Saudi Arabia,61,24,12,25,70.0,73.0,-3.0,0.39344262295081966,0.19672131147540983,0.4098360655737705,0.5901639344262295,1.1475409836065573,1.1967213114754098,-0.04918032786885246,1.3770491803278688,3,12,27,12.689473684210526,1.2689473684210526,0.8,2.0,1.0,1.5,1.05,1.25,-0.5,-0.2,-0.25,-0.04918032786885246,0.3114754098360656,0.3114754098360656,32,1.46875,0.4375,H,1209.0117270665833,1500.0,35,7,37.0,37.0,-0.5,8.767485272370239,9.519660341129198,0.23029767555094352
Scotland,36,15,6,15,55.0,53.0,2.0,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.5833333333333334,1.5277777777777777,1.4722222222222223,0.05555555555555555,1.4166666666666667,6,19,29,15.457894736842103,1.5457894736842104,2.0,1.6,2.1,1.0,1.5,1.25,1.1,0.25,0.5,0.05555555555555555,0.3055555555555556,0.25,5,1.4,0.4,C,1190.5959835527815,1790.0,36,2,24.0,41.0,1.1,12.745108972338722,11.419894426900695,0.33840786303835885
Senegal,51,34,10,7,99.0,36.0,63.0,0.6666666666666666,0.19607843137254902,0.13725490196078433,0.8627450980392157,1.9411764705882353,0.7058823529411765,1.2352941176470589,2.196078431372549,9,22,45,22.236842105263158,2.223684210526316,1.6,1.4,1.9,0.9,2.35,0.75,1.0,1.6,-0.75,1.2352941176470589,0.5098039215686274,0.1568627450980392,25,2.28,0.72,I,1399.317919514904,1803.0,37,8,22.0,15.0,0.9999999999999999,18.467538606996534,19.30797991365365,0.744646335492516
South Africa,48,20,21,7,69.0,41.0,28.0,0.4166666666666667,0.4375,0.14583333333333334,0.8541666666666666,1.4375,0.8541666666666666,0.5833333333333334,1.6875,5,15,36,16.905263157894737,1.6905263157894737,1.2,1.4,1.4,1.0,1.65,0.75,0.4,0.9,-0.44999999999999996,0.5833333333333334,0.4166666666666667,0.2916666666666667,13,1.5384615384615385,0.38461538461538464,A,1178.7741719154324,1500.0,38,0,37.0,43.0,0.3999999999999999,11.680283158379599,12.365163903931382,0.3573638317282317
South Korea,47,24,13,10,89.0,47.0,42.0,0.5106382978723404,0.2765957446808511,0.2127659574468085,0.7872340425531915,1.8936170212765957,1.0,0.8936170212765957,1.8085106382978724,9,19,41,19.83684210526316,1.983684210526316,1.6,1.0,1.8,1.2,1.75,0.95,0.6,0.8,-0.1499999999999999,0.8936170212765957,0.44680851063829785,0.19148936170212766,19,1.4210526315789473,0.3684210526315789,A,1378.181679088622,1500.0,39,0,37.0,18.0,0.6000000000000001,13.705786806952897,16.963924820566024,0.5138750349747113
Spain,47,31,13,3,120.0,41.0,79.0,0.6595744680851063,0.2765957446808511,0.06382978723404255,0.9361702127659575,2.5531914893617023,0.8723404255319149,1.6808510638297873,2.25531914893617,11,24,48,23.62105263157895,2.362105263157895,2.6,0.4,3.1,0.8,2.65,0.95,2.3,1.7,-0.04999999999999982,1.6808510638297873,0.46808510638297873,0.1276595744680851,18,2.0,0.5555555555555556,H,1611.5829708997296,2171.0,40,7,1.0,1.0,2.3,23.62105263157895,23.62105263157895,0.9357067221490608
Sweden,40,22,4,14,77.0,54.0,23.0,0.55,0.1,0.35,0.65,1.925,1.35,0.575,1.75,7,14,33,16.27894736842105,1.627894736842105,1.6,1.8,1.6,1.8,2.05,1.45,-0.2,0.6,-0.44999999999999973,0.575,0.3,0.225,9,2.3333333333333335,0.7777777777777778,F,1222.7929486906655,1660.0,41,5,31.0,34.0,-0.19999999999999996,12.4472835705108,12.351695453258941,0.4566307354970666
Switzerland,46,19,18,9,85.0,55.0,30.0,0.41304347826086957,0.391304347826087,0.1956521739130435,0.8043478260869565,1.8478260869565217,1.1956521739130435,0.6521739130434783,1.6304347826086956,8,21,31,16.773684210526316,1.6773684210526316,2.4,1.4,2.5,0.7,2.0,1.3,1.8,0.7,0.3999999999999999,0.6521739130434783,0.30434782608695654,0.17391304347826086,15,1.7333333333333334,0.4666666666666667,B,1349.765568756604,1897.0,42,1,13.0,21.0,1.8,14.656692283449296,14.048635296713732,0.48813722065702514
Tunisia,50,24,15,11,69.0,39.0,30.0,0.48,0.3,0.22,0.78,1.38,0.78,0.6,1.74,6,14,39,18.41578947368421,1.841578947368421,1.0,1.0,1.4,1.0,1.8,0.75,0.4,1.05,-0.8,0.6,0.5,0.3,23,1.2608695652173914,0.2608695652173913,F,1223.6360892847426,1641.0,43,5,32.0,33.0,0.3999999999999999,13.919995636257848,13.982664882646073,0.4477995253179024
Turkey,37,21,6,10,65.0,51.0,14.0,0.5675675675675675,0.16216216216216217,0.2702702702702703,0.7297297297297297,1.7567567567567568,1.3783783783783783,0.3783783783783784,1.864864864864865,13,22,42,21.526315789473685,2.1526315789473687,2.0,0.6,2.1,1.4,1.95,1.2,0.7,0.75,0.050000000000000044,0.3783783783783784,0.2972972972972973,0.21621621621621623,7,1.2857142857142858,0.42857142857142855,D,1301.9409887396662,1880.0,44,3,15.0,26.0,0.7000000000000002,18.64093674998182,17.390350586307722,0.5869935262139473
United States,57,28,11,18,107.0,66.0,41.0,0.49122807017543857,0.19298245614035087,0.3157894736842105,0.6842105263157895,1.8771929824561404,1.1578947368421053,0.7192982456140351,1.6666666666666667,9,16,32,16.54736842105263,1.654736842105263,2.4,2.2,1.8,1.7,1.75,1.5,0.1,0.25,0.6499999999999999,0.7192982456140351,0.3508771929824561,0.15789473684210525,4,1.25,0.25,D,1367.8599334539645,1500.0,45,3,37.0,19.0,0.10000000000000009,11.433004436471188,14.044875551534709,0.4406243102970717
Uruguay,47,21,17,9,63.0,35.0,28.0,0.44680851063829785,0.3617021276595745,0.19148936170212766,0.8085106382978723,1.3404255319148937,0.7446808510638298,0.5957446808510638,1.702127659574468,6,16,26,13.421052631578947,1.3421052631578947,0.8,1.4,1.0,0.9,0.85,0.85,0.1,0.0,-0.04999999999999993,0.5957446808510638,0.5106382978723404,0.3404255319148936,18,1.7777777777777777,0.5,H,1379.7804789176744,1890.0,46,7,14.0,17.0,0.09999999999999998,11.683919610172367,11.49063173411472,0.4803671335064648
Uzbekistan,40,22,14,4,64.0,29.0,35.0,0.55,0.35,0.1,0.9,1.6,0.725,0.875,2.0,9,17,38,18.515789473684208,1.8515789473684208,1.4,0.6,1.5,0.7,1.35,0.65,0.8,0.7,0.04999999999999982,0.875,0.55,0.225,15,1.8666666666666667,0.4666666666666667,K,1306.6558559370187,1735.0,47,10,28.0,25.0,0.8,14.797279934059004,15.012422680030776,0.5727533153075292
